805 805
218 225 0.246583
219 221 -0.461993
219 228 0.573617
219 235 -1.116062
221 224 1.881756
221 229 1.227687
221 235 -0.734521
222 227 -0.925292
223 225 0.573617
223 226 -1.088809
223 231 0.628123
223 232 -0.652763
223 237 0.464606
223 239 1.091422
223 241 0.301088
223 254 -1.988155
223 258 -0.598257
223 260 0.355594
223 262 0.846146
223 266 1.827251
223 267 -1.170568
224 229 1.609227
226 231 1.282193
227 230 -0.461993
227 233 -0.843533
227 246 -0.734521
228 235 -0.025946
228 236 -0.516498
229 235 -0.352981
229 245 -1.497603
230 234 -1.170568
230 240 0.791641
230 242 -0.516498
230 244 -0.680016
231 241 0.410100
233 235 0.873399
233 238 1.227687
233 246 0.846146
233 247 -0.189464
233 250 0.573617
234 237 0.246583
234 240 -0.134958
234 243 1.309446
235 236 0.028560
235 238 -1.443097
235 242 0.301088
235 245 0.437353
235 250 0.573617
235 256 -0.298475
235 257 0.846146
235 261 -0.680016
235 263 -1.116062
235 265 -1.443097
235 268 0.464606
235 271 -0.271222
235 272 -0.598257
235 275 -0.898039
235 278 -1.443097
235 280 -0.243969
235 282 -1.661120
235 285 -0.407487
235 286 -0.516498
235 287 -0.189464
235 288 0.355594
235 289 -0.107705
235 291 0.355594
235 292 -0.352981
235 293 -0.543751
235 294 0.900652
235 296 -1.007050
236 238 0.355594
237 239 0.737135
237 243 2.045274
237 248 0.791641
237 252 -0.652763
237 254 0.028560
240 242 0.137571
240 243 0.083065
242 243 2.372308
242 244 0.137571
242 247 0.137571
242 248 3.189895
242 249 0.192077
242 250 0.410100
242 251 1.772745
242 252 2.045274
242 253 1.309446
242 259 -0.952545
242 261 0.873399
242 264 0.791641
242 265 0.355594
242 268 0.791641
242 271 0.301088
243 248 1.718239
244 246 0.846146
244 247 -0.080452
244 249 0.709882
245 256 1.145928
246 247 -1.088809
247 249 1.173181
247 250 -0.407487
248 252 1.009664
250 257 1.227687
250 261 -1.116062
252 253 0.900652
252 254 -0.134958
252 255 -1.334085
252 264 -0.516498
252 270 0.328341
252 273 -0.298475
253 264 1.772745
254 255 -1.497603
255 258 -0.761774
255 260 0.846146
255 265 -0.243969
255 266 1.881756
255 273 1.609227
255 274 1.064170
255 276 0.028560
255 277 0.410100
255 283 0.301088
255 284 -0.407487
255 290 1.036917
257 261 -0.298475
258 260 1.718239
260 262 1.227687
260 266 1.718239
262 266 1.173181
263 272 -1.334085
264 265 -1.061556
264 269 -1.443097
264 270 -0.025946
264 277 1.064170
265 269 -0.461993
265 271 -0.434740
265 277 -1.088809
265 278 -1.061556
265 282 0.410100
265 290 0.110318
265 294 -0.189464
266 267 0.791641
266 274 -1.552108
266 281 -1.061556
269 277 -0.025946
270 273 1.064170
270 277 -0.189464
273 277 0.137571
274 276 -1.170568
274 281 -0.952545
274 283 -0.461993
275 279 -0.625510
276 283 -0.734521
277 290 0.410100
278 282 -0.625510
279 280 0.001307
280 286 -0.053199
280 293 -1.879143
281 283 -0.898039
282 288 1.118675
282 294 1.500216
283 284 -0.461993
285 288 0.246583
286 289 0.246583
286 293 -0.025946
287 289 -0.107705
288 294 0.192077
289 291 0.846146
289 293 0.818893
291 293 0.846146
292 293 0.083065
292 295 0.137571
292 296 -0.598257
293 295 0.301088
294 297 0.083065
295 296 -0.080452
298 299 -1.197821
298 309 -1.007050
298 314 2.699343
298 317 -0.843533
298 323 0.519112
299 300 -0.571004
299 309 -2.424201
300 301 -0.516498
300 309 0.846146
301 302 -0.162211
301 309 0.764388
301 315 1.173181
301 317 0.246583
301 319 0.028560
301 321 -0.734521
301 326 1.036917
301 327 2.862860
301 328 1.472963
301 330 0.410100
301 331 0.846146
301 333 1.173181
301 334 0.137571
301 335 0.301088
301 337 -0.352981
301 338 -0.134958
301 340 -0.680016
301 341 -0.189464
301 342 0.219330
301 345 1.282193
301 346 0.355594
301 349 1.173181
301 350 0.355594
301 351 0.164824
301 354 1.527469
301 358 0.982411
302 303 -1.552108
302 315 -0.461993
302 319 -0.898039
302 321 -1.061556
302 324 -0.734521
302 326 -0.243969
303 304 -0.898039
303 305 -0.952545
303 311 -0.080452
303 312 -0.707269
303 315 -0.680016
305 306 -0.189464
305 308 0.927905
305 311 0.137571
305 312 1.336698
306 307 0.083065
306 308 -0.134958
306 311 0.491859
307 310 -1.279579
307 311 1.445710
308 311 0.055812
309 317 -0.243969
310 311 0.083065
310 313 -1.061556
310 318 -0.843533
311 312 -0.134958
311 315 -0.025946
311 318 0.301088
311 320 -1.197821
311 322 1.227687
313 316 0.900652
314 323 3.080884
314 325 2.481320
315 322 1.854503
315 327 1.990768
316 318 0.846146
316 329 1.009664
317 323 -0.107705
317 332 -0.543751
317 339 0.028560
317 348 -0.107705
317 351 0.464606
317 352 -0.271222
318 320 -1.061556
318 329 0.682629
319 324 0.846146
319 330 0.573617
319 331 -0.571004
320 322 -0.543751
320 327 -0.761774
320 328 0.246583
320 329 0.137571
320 333 1.663733
320 336 0.628123
322 327 0.355594
323 325 -0.434740
323 332 -1.170568
324 326 -0.025946
324 330 -0.298475
326 330 1.500216
327 328 0.655376
328 333 0.737135
329 336 0.083065
331 335 -0.680016
331 337 0.273836
331 338 0.709882
332 339 0.573617
333 336 0.437353
333 342 -0.162211
333 343 -0.898039
333 344 -0.025946
333 347 -0.243969
